Sailing Mixed 6.5 metres,Sailing
Gymnastics Men's Horse Vault,Gymnastics
Swimming Women's 200 metres Individual Medley,Swimming
Racquets Men's Doubles,Racquets
Swimming Women's 100 metres Freestyle,Swimming
Snowboarding Women's Giant Slalom,Snowboarding
Cycling Men's Sprint,Cycling
Athletics Women's 800 metres,Athletics
Cross Country Skiing Women's 15 km Skiathlon,Cross Country Skiing
Cycling Men's 5 mile,Cycling
"Archery Men's Target Archery, 28 metres, Team",Archery
Archery Women's Double Columbia Round,Archery
"Fencing Men's Foil, Masters, Individual",Fencing
"Shooting Men's Free Rifle, 1,000 Yards",Shooting
"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Shooting
"Shooting Men's Military Revolver, 20 metres",Shooting
Sailing Mixed Multihull,Sailing
Judo Men's Extra-Lightweight,Judo
Diving Men's Plain High,Diving
Cycling Men's 100 kilometres,Cycling
"Athletics Men's Javelin Throw, Freestyle",Athletics
"Wrestling Men's Heavyweight, Freestyle",Wrestling
"Shooting Men's Military Rifle, Prone, 300 metres, Team",Shooting
Athletics Men's Shot Put,Athletics
Taekwondo Men's Featherweight,Taekwondo
Cross Country Skiing Men's Sprint,Cross Country Skiing
"Shooting Men's Free Rifle, Prone, 600 metres",Shooting
Sailing Mixed One Person Dinghy,Sailing
Boxing Men's Light-Welterweight,Boxing
Beach Volleyball Men's Beach Volleyball,Beach Volleyball
Biathlon Men's 15 kilometres Mass Start,Biathlon
Freestyle Skiing Men's Slopestyle,Freestyle Skiing
"Shooting Men's Running Target, Single Shot",Shooting
"Fencing Women's epee, Team",Fencing
Figure Skating Men's Singles,Figure Skating
Athletics Women's 4 x 400 metres Relay,Athletics
"Canoeing Men's Canadian Singles, 200 metres",Canoeing
"Wrestling Women's Featherweight, Freestyle",Wrestling
Archery Women's Individual,Archery
Swimming Men's 400 metres Breaststroke,Swimming
"Canoeing Men's Kayak Singles, 500 metres",Canoeing
Freestyle Skiing Men's Ski Cross,Freestyle Skiing
Speed Skating Men's 500 metres,Speed Skating
Cross Country Skiing Women's 15 kilometres,Cross Country Skiing
Taekwondo Men's Flyweight,Taekwondo
Cricket Men's Cricket,Cricket
"Speed Skating Women's 1,500 metres",Speed Skating
Tennis Women's Doubles,Tennis
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting
Sailing Mixed Two Person Keelboat,Sailing
Polo Men's Polo,Polo
"Shooting Men's Air Rifle, 10 metres",Shooting
Gymnastics Men's Rope Climbing,Gymnastics
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions
Judo Men's Lightweight,Judo
Archery Men's Double York Round,Archery
Rowing Women's Coxed Quadruple Sculls,Rowing
Boxing Men's Welterweight,Boxing
Golf Women's Individual,Golf
"Wrestling Women's Flyweight, Freestyle",Wrestling
"Archery Men's Pole Archery, Small Birds, Individual",Archery
Softball Women's Softball,Softball
Freestyle Skiing Men's Moguls,Freestyle Skiing
Cycling Men's Madison,Cycling
"Athletics Men's 1,500 metres Walk",Athletics
"Wrestling Men's Welterweight, Greco-Roman",Wrestling
Gymnastics Women's Floor Exercise,Gymnastics
Lacrosse Men's Lacrosse,Lacrosse
Judo Women's Half-Lightweight,Judo
Biathlon Men's 20 kilometres,Biathlon
"Art Competitions Mixed Painting, Paintings",Art Competitions
Short Track Speed Skating Men's 500 metres,Short Track Speed Skating
"Athletics Men's 1,600 metres Medley Relay",Athletics
Weightlifting Women's Super-Heavyweight,Weightlifting
Trampolining Women's Individual,Trampolining
Rhythmic Gymnastics Women's Individual,Rhythmic Gymnastics
"Wrestling Men's Heavyweight, Greco-Roman",Wrestling
Cross Country Skiing Women's 30 kilometres,Cross Country Skiing
Rowing Men's Coxless Fours,Rowing
Athletics Men's 200 metres Hurdles,Athletics
Swimming Men's 400 metres Freestyle,Swimming
Modern Pentathlon Men's Individual,Modern Pentathlon
Gymnastics Women's Balance Beam,Gymnastics
Athletics Men's High Jump,Athletics
Weightlifting Men's Heavyweight,Weightlifting
Alpine Skiing Women's Giant Slalom,Alpine Skiing
Athletics Women's Shot Put,Athletics
Swimming Men's 100 metres Freestyle,Swimming
Modern Pentathlon Women's Individual,Modern Pentathlon
"Equestrianism Men's Three-Day Event, Individual",Equestrianism
Athletics Women's Triple Jump,Athletics
Athletics Women's 80 metres Hurdles,Athletics
"Tennis Men's Singles, Covered Courts",Tennis
Ice Hockey Men's Ice Hockey,Ice Hockey
Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon
Sailing Men's One Person Heavyweight Dinghy,Sailing
Freestyle Skiing Men's Halfpipe,Freestyle Skiing
"Art Competitions Mixed Sculpturing, Statues",Art Competitions
"Art Competitions Mixed Music, Unknown Event",Art Competitions
"Wrestling Men's Middleweight A, Greco-Roman",Wrestling
Tug-Of-War Men's Tug-Of-War,Tug-Of-War
Nordic Combined Men's Team,Nordic Combined
Archery Women's Team Round,Archery
"Archery Men's Pole Archery, Large Birds, Team",Archery
"Wrestling Men's All-Around, Greco-Roman",Wrestling
Aeronautics Mixed Aeronautics,Aeronautics
Art Competitions Mixed Painting,Art Competitions
Taekwondo Women's Featherweight,Taekwondo
Weightlifting Men's Middleweight,Weightlifting
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions
Speed Skating Men's Allround,Speed Skating
Cycling Men's 12-Hours Race,Cycling
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions
Volleyball Men's Volleyball,Volleyball
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Shooting
Archery Men's Team Round,Archery
Judo Men's Half-Heavyweight,Judo
"Shooting Men's Military Rifle, Prone, 300 metres",Shooting
Cycling Men's 1/4 mile,Cycling
"Art Competitions Mixed Literature, Epic Works",Art Competitions
Gymnastics Men's Parallel Bars,Gymnastics
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions
"Rowing Men's Coxed Fours, Inriggers",Rowing
Weightlifting Men's Light-Heavyweight,Weightlifting
Athletics Men's Discus Throw,Athletics
Weightlifting Women's Light-Heavyweight,Weightlifting
Alpine Skiing Men's Giant Slalom,Alpine Skiing
Judo Women's Half-Middleweight,Judo
Ice Hockey Women's Ice Hockey,Ice Hockey
Swimming Women's 100 metres Butterfly,Swimming
Football Women's Football,Football
Cycling Women's Individual Time Trial,Cycling
"Shooting Men's Military Rifle, Standing, 300 metres",Shooting
Swimming Men's 440 Yard Breaststroke,Swimming
"Wrestling Men's Flyweight, Greco-Roman",Wrestling
Curling Women's Curling,Curling
"Canoeing Men's Kayak Fours, 1,000 metres",Canoeing
Hockey Women's Hockey,Hockey
Swimming Men's 880 yard Freestyle,Swimming
"Athletics Men's 2,500 metres Steeplechase",Athletics
"Fencing Women's Sabre, Individual",Fencing
Tennis Men's Singles,Tennis
Alpine Skiing Men's Combined,Alpine Skiing
Athletics Men's 110 metres Hurdles,Athletics
Sailing Mixed 40 metres,Sailing
Diving Men's Synchronized Springboard,Diving
"Ski Jumping Women's Normal Hill, Individual",Ski Jumping
Cycling Men's Team Sprint,Cycling
"Wrestling Men's Middleweight B, Greco-Roman",Wrestling
Athletics Women's 10 kilometres Walk,Athletics
Snowboarding Women's Slopestyle,Snowboarding
Swimming Men's 100 yard Freestyle,Swimming
Swimming Men's 100 metres Freestyle For Sailors,Swimming
"Shooting Men's Trap, Double Shot, 14 metres",Shooting
"Ski Jumping Men's Normal Hill, Individual",Ski Jumping
Tennis Mixed Doubles,Tennis
"Shooting Men's Free Rifle, Prone, 300 metres",Shooting
Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
"Archery Men's Au Chapelet, 50 metres",Archery
"Cycling Women's Road Race, Individual",Cycling
"Shooting Men's Free Pistol, 50 yards",Shooting
Swimming Men's 4 x 100 metres Medley Relay,Swimming
Cycling Men's Individual Time Trial,Cycling
Sailing Men's Two Person Dinghy,Sailing
"Weightlifting Men's Unlimited, One Hand",Weightlifting
Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
Basketball Men's Basketball,Basketball
"Equestrianism Men's Dressage, Team",Equestrianism
"Shooting Men's Free Pistol, 50 metres, Team",Shooting
Equestrianism Mixed Four-In-Hand Competition,Equestrianism
Alpine Skiing Men's Super G,Alpine Skiing
"Speed Skating Men's 5,000 metres",Speed Skating
Athletics Women's Hammer Throw,Athletics
Athletics Women's High Jump,Athletics
"Short Track Speed Skating Men's 1,500 metres",Short Track Speed Skating
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting
"Cycling Men's 5,000 metres",Cycling
Swimming Men's 200 metres Team Swimming,Swimming
"Shooting Men's Military Rifle, 200 metres",Shooting
Athletics Men's Standing Triple Jump,Athletics
Table Tennis Men's Singles,Table Tennis
Boxing Men's Light-Heavyweight,Boxing
Sailing Mixed 10-20 Ton,Sailing
Cycling Men's 25 kilometres,Cycling
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Shooting
Cycling Men's Keirin,Cycling
Cross Country Skiing Men's 18 kilometres,Cross Country Skiing
"Canoeing Women's Kayak Singles, 500 metres",Canoeing
Cycling Women's Team Pursuit,Cycling
"Tennis Men's Doubles, Covered Courts",Tennis
"Shooting Men's Dueling Pistol, 30 metres",Shooting
Athletics Men's 10 kilometres Walk,Athletics
Diving Women's Synchronized Springboard,Diving
Judo Women's Half-Heavyweight,Judo
